date,event_type,label
16/1/2015,CPI,US CPI
28/1/2015,FOMC,FOMC meeting/decision
20/2/2015,CPI,US CPI
26/2/2015,CPI,US CPI
18/3/2015,FOMC,FOMC meeting/decision
24/3/2015,CPI,US CPI
17/4/2015,CPI,US CPI
29/4/2015,FOMC,FOMC meeting/decision
22/5/2015,CPI,US CPI
17/6/2015,FOMC,FOMC meeting/decision
18/6/2015,CPI,US CPI
17/7/2015,CPI,US CPI
29/7/2015,FOMC,FOMC meeting/decision
19/8/2015,CPI,US CPI
16/9/2015,CPI,US CPI
17/9/2015,FOMC,FOMC meeting/decision
15/10/2015,CPI,US CPI
28/10/2015,FOMC,FOMC meeting/decision
17/11/2015,CPI,US CPI
15/12/2015,CPI,US CPI
16/12/2015,FOMC,FOMC meeting/decision
20/1/2016,CPI,US CPI
27/1/2016,FOMC,FOMC meeting/decision
19/2/2016,CPI,US CPI
16/3/2016,FOMC,FOMC meeting/decision
16/3/2016,CPI,US CPI
14/4/2016,CPI,US CPI
27/4/2016,FOMC,FOMC meeting/decision
17/5/2016,CPI,US CPI
15/6/2016,FOMC,FOMC meeting/decision
16/6/2016,CPI,US CPI
15/7/2016,CPI,US CPI
27/7/2016,FOMC,FOMC meeting/decision
16/8/2016,CPI,US CPI
16/9/2016,CPI,US CPI
21/9/2016,FOMC,FOMC meeting/decision
18/10/2016,CPI,US CPI
2/11/2016,FOMC,FOMC meeting/decision
17/11/2016,CPI,US CPI
14/12/2016,FOMC,FOMC meeting/decision
15/12/2016,CPI,US CPI
18/1/2017,CPI,US CPI
1/2/2017,FOMC,FOMC meeting/decision
13/2/2017,CPI,US CPI
15/2/2017,CPI,US CPI
15/3/2017,FOMC,FOMC meeting/decision
15/3/2017,CPI,US CPI
14/4/2017,CPI,US CPI
3/5/2017,FOMC,FOMC meeting/decision
12/5/2017,CPI,US CPI
14/6/2017,FOMC,FOMC meeting/decision
14/6/2017,CPI,US CPI
14/7/2017,CPI,US CPI
26/7/2017,FOMC,FOMC meeting/decision
11/8/2017,CPI,US CPI
14/9/2017,CPI,US CPI
20/9/2017,FOMC,FOMC meeting/decision
13/10/2017,CPI,US CPI
1/11/2017,FOMC,FOMC meeting/decision
15/11/2017,CPI,US CPI
13/12/2017,FOMC,FOMC meeting/decision
